"","k","V","minN","POrig.Method","delta","N.orig","true.effect.dist","n","phat.mn","phatBias.mn","Cover.mn","Porig.mn","Reject.mn","I2.mn","k.pretty","muN.pretty","N.orig.pretty","delta.pretty","V.pretty","dist.pretty","N.tot","N.tot.pretty"
"1",5,0.002,50,"pm",0,200,"expo",1024,0.3306640625,0.2806640625,0.997490589711418,0.607312195256113,0.009765625,32.0823286762196,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Exponential",250,"N =  250"
"2",5,0.002,50,"pm",0,200,"normal",2048,0.38037109375,0.30537109375,0.997055359246172,0.628104762711704,0.01318359375,32.7561428729284,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Normal",250,"N =  250"
"3",5,0.002,50,"pm",0,200,"t.scaled",1024,0.3158203125,0.2658203125,0.99874843554443,0.622956178637544,0.015625,34.8072413512061,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.002","t",250,"N =  250"
"4",5,0.002,50,"pm",0,200,"unif2",1024,0.4087890625,0.3587890625,0.99537037037037,0.62445426878417,0.013671875,33.1149081041146,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Uniform mixture",250,"N =  250"
"5",5,0.002,50,"reml",0,200,"expo",1024,0.3306640625,0.2806640625,0.997490589711418,0.605666529082674,0.009765625,31.5589248257198,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Exponential",250,"N =  250"
"6",5,0.002,50,"reml",0,200,"normal",2048,0.38037109375,0.30537109375,0.997055359246172,0.62616562312236,0.0126953125,32.1840981704296,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Normal",250,"N =  250"
"7",5,0.002,50,"reml",0,200,"t.scaled",1024,0.3158203125,0.2658203125,0.99874843554443,0.621124111218774,0.0166015625,34.2114355624708,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.002","t",250,"N =  250"
"8",5,0.002,50,"reml",0,200,"unif2",1024,0.4087890625,0.3587890625,0.99537037037037,0.622680277722067,0.0146484375,32.5356247759772,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Uniform mixture",250,"N =  250"
"9",5,0.002,300,"pm",0,200,"expo",1520,0.225131578947368,0.158815789473684,1,0.548841390793377,0.0335526315789474,36.9476710198637,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Exponential",1500,"N =  1500"
"10",5,0.002,300,"pm",0,200,"normal",2048,0.25302734375,0.17802734375,1,0.538803230165686,0.0263671875,36.3468523436594,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Normal",1500,"N =  1500"
"11",5,0.002,300,"pm",0,200,"t.scaled",1024,0.18125,0.13125,1,0.54801016471759,0.03515625,41.6428993086661,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.002","t",1500,"N =  1500"
"12",5,0.002,300,"pm",0,200,"unif2",1024,0.26953125,0.21953125,0.998620689655172,0.542597164907108,0.02734375,34.4321598075213,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Uniform mixture",1500,"N =  1500"
"13",5,0.002,300,"reml",0,200,"expo",1520,0.225131578947368,0.158815789473684,1,0.548667248110158,0.0342105263157895,36.8543008204338,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Exponential",1500,"N =  1500"
"14",5,0.002,300,"reml",0,200,"normal",2048,0.25302734375,0.17802734375,1,0.538644026523704,0.02734375,36.2521034579343,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Normal",1500,"N =  1500"
"15",5,0.002,300,"reml",0,200,"t.scaled",1024,0.18125,0.13125,1,0.547848011917779,0.0361328125,41.5552385520143,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.002","t",1500,"N =  1500"
