"k","V","minN","POrig.Method","delta","N.orig","true.effect.dist","n","Reject.mn","EstMean.mn","EstVar.mn","I2.mn","N.tot","k.pretty","N.tot.pretty","N.orig.pretty","delta.pretty","V.pretty","dist.pretty"
5,0.002,50,"pm",0,30,"expo",6144,0.0250651041666667,0.500458758340959,0.0567607305404309,33.2289717247576,250,"No. replications: 5","N =  250","Norig =  30","delta =  0","V =  0.002","Exponential"
5,0.002,50,"pm",0,30,"normal",6144,0.0231119791666667,0.49543648284563,0.0568291312762821,33.1652219809846,250,"No. replications: 5","N =  250","Norig =  30","delta =  0","V =  0.002","Normal"
5,0.002,50,"pm",0,30,"t.scaled",6144,0.0289713541666667,0.497826650970694,0.0618720640316612,34.1116346237055,250,"No. replications: 5","N =  250","Norig =  30","delta =  0","V =  0.002","t"
5,0.002,50,"pm",0,30,"unif2",6144,0.0266927083333333,0.49773708050492,0.0562214471735179,32.9347729464628,250,"No. replications: 5","N =  250","Norig =  30","delta =  0","V =  0.002","Uniform mixture"
5,0.002,50,"pm",0,50,"expo",4640,0.0202586206896552,0.499482217539855,0.0567338233502366,32.8781569456168,250,"No. replications: 5","N =  250","Norig =  50","delta =  0","V =  0.002","Exponential"
5,0.002,50,"pm",0,50,"normal",4448,0.0256294964028777,0.496969809171322,0.056577340474063,33.036709966374,250,"No. replications: 5","N =  250","Norig =  50","delta =  0","V =  0.002","Normal"
5,0.002,50,"pm",0,50,"t.scaled",4096,0.021240234375,0.498697976815657,0.0615736027224284,34.6105044612995,250,"No. replications: 5","N =  250","Norig =  50","delta =  0","V =  0.002","t"
5,0.002,50,"pm",0,50,"unif2",4192,0.018368320610687,0.497792039205066,0.0570549293778288,33.5293211180968,250,"No. replications: 5","N =  250","Norig =  50","delta =  0","V =  0.002","Uniform mixture"
5,0.002,50,"pm",0,200,"expo",6144,0.009765625,0.496548813562599,0.0558253858327451,32.7706708880538,250,"No. replications: 5","N =  250","Norig =  200","delta =  0","V =  0.002","Exponential"
5,0.002,50,"pm",0,200,"normal",6144,0.0110677083333333,0.497796177478777,0.0573332866328753,33.1240534506572,250,"No. replications: 5","N =  250","Norig =  200","delta =  0","V =  0.002","Normal"
5,0.002,50,"pm",0,200,"t.scaled",6144,0.0139973958333333,0.498335265881993,0.063471054190703,34.457658549111,250,"No. replications: 5","N =  250","Norig =  200","delta =  0","V =  0.002","t"
5,0.002,50,"pm",0,200,"unif2",6144,0.0126953125,0.502314513675864,0.0564697317879807,32.9447423548688,250,"No. replications: 5","N =  250","Norig =  200","delta =  0","V =  0.002","Uniform mixture"
5,0.002,50,"pm",0.2,30,"expo",5792,0.0422997237569061,0.495567755415623,0.0579458813518822,33.5052081774518,250,"No. replications: 5","N =  250","Norig =  30","delta =  0.2","V =  0.002","Exponential"
5,0.002,50,"pm",0.2,30,"normal",6144,0.0419921875,0.500106723084441,0.0558081930454427,32.7975106152747,250,"No. replications: 5","N =  250","Norig =  30","delta =  0.2","V =  0.002","Normal"
